objname_ned_from,pgc_from,objname_ned_to,dtheta_arcsec,comment
CGCG 382-027,536,CGCG 382-027 NED02,33.801,GTrpl
V Zw 056,4341,V Zw 056 NOTES02,58.990,GTrpl
ESO 197-IG 001,6605,ESO 197-IG 001 NED01,44.984,GTrpl
V Zw 163,7625,WISEA J020045.44+464828.5,0.413,GTrpl
VV 683,8724,VV 683 NED01,13.161,GTrpl
MCG -07-07-006,11805,MCG -07-07-006 NED01,3.004,GTrpl
ESO 481- G 015,12106,ESO 481- G 015 NED01,18.313,GTrpl
ESO 200-IG 011,12661,WISEA J032253.51-473900.2,7.968,GTrpl
ESO 159- G 016,17365,ESO 159- G 016 NED01,3.526,GTrpl
CGCG 233-010,18822,CGCG 233-010 NED02,1.370,GTrpl
CGCG 059-055,23136,WISEA J081515.44+101650.8,81.125,GTrpl
CGCG 004-085,24198,CGCG 004-085 NED01,13.253,GTrpl
MCG +09-15-076,25334,KUG 0857+528,1.980,GTrpl
VV 154,26677,SDSS J092449.60+213418.6,4.524,GTrpl
CGCG 155-021,32365,CGCG 155-021 NED02,28.385,GTrpl
CGCG 066-046,32599,CGCG 066-046 NED01,4.027,GTrpl
VV 145,34164,WISEA J111320.12+023248.4,12.296,GTrpl
MCG +10-17-130,38005,VV 656 NED01,7.887,GTrpl
CGCG 013-047,38041,CGCG 013-047 NED01,18.196,GTrpl
NGC 4054,38078,NGC 4054 NED01,6.299,GTrpl
IC 3278,40345,IC 3278 NED03,10.732,GTrpl
I Zw 037,40949,MRK 0211,90.491,GTrpl
MCG +08-23-062,41938,MCG +08-23-062 NED01,6.655,GTrpl
CGCG 103-047,49969,CGCG 103-047 NED02,17.182,GTrpl
ESO 328-IG 013,53768,WISEA J150403.60-415550.9,10.067,GTrpl
MCG +04-37-038,56101,WISEA J154855.78+214818.5,0.996,GTrpl
ESO 023-IG 007,59231,2MFGC 13527,5.216,GTrpl
CGCG 300-088,60989,WISEA J175103.99+624915.6,29.315,GTrpl
VII Zw 763,61349,VII Zw 763 NOTES01,3.071,GTrpl
ESO 024-IG 020,62449,WISEA J184837.07-790330.0,7.335,GTrpl
ESO 186-IG 054,64810,WISEA J202945.92-543721.4,12.045,GTrpl
ESO 144-IG 011,65842,WISEA J205923.59-604003.4,1.848,GTrpl
ESO 144-IG 017,66014,2MASX J21035050-5934567,9.078,GTrpl
ESO 286-IG 069,66267,ESO 286-IG 069 NED01,1.218,GTrpl
VV 581,67691,WISEA J215658.87-365759.9,107.436,GTrpl
IC 1433,68267,IC 1433 NED01,6.949,GTrpl
ESO 076-IG 013,68702,WISEA J222248.13-720220.4,2.975,GTrpl
ESO 239-IG 011,70471,WISEA J230606.38-472945.4,2.332,GTrpl
ESO 292-IG 010,72081,ESO 292-IG 010 NED01,5.560,GTrpl
AM 2336-580,128337,AM 2336-580 NED01,64.481,GTrpl
AM 2319-534,129126,WISEA J232156.77-532925.9,9.202,GTrpl
AM 0418-513,129621,WISEA J042014.12-512637.5,3.544,GTrpl
IRAS 17518-0202,166523,WISEA J175425.16-020235.5,1.234,GTrpl
APMUKS(BJ) B020550.65-13135 ID,174834,WISEA J020816.54-125940.4,4.192,GTrpl
CGMW 3-1592,201900,WISEA J180721.04+052646.9,6.770,GTrpl
CGMW 4-5601,210917,WISEA J191027.15-215515.7,2.541,GTrpl
AM 0851-683,283623,WISEA J085144.83-684537.8,20.354,GTrpl
AM 1941-515,452737,2MASX J19450041-5146259,9.102,GTrpl
LCSB S2602P,1011339,2MASX J21503177-0753490,5.479,GTrpl
IV Zw 157,1698718,KUG 2334+237,14.149,GTrpl
CGCG 120-016,1764122,CGCG 120-016 NED02,32.472,GTrpl
AM 0954-793,2816689,WISEA J095411.80-795139.1,10.111,GTrpl
APMUKS(BJ) B034212.98-02470 ID,3080501,WISEA J034443.84-023748.0,4.666,GTrpl
ESO 294-IG 011,3166392,ESO 294-IG 011 NED02,33.533,GTrpl
